r,rdf1,rdf2,rdf3,rdf4,rdf5,rdf6,rdf7,rdf8,rdf9,rdf10,rdf11,rdf12,rdf13,rdf14,rdf15,rdf16,rdf17,rdf18,rdf19,rdf20,rdf21,rdf22,rdf23,rdf24,rdf25,rdf26,rdf27,rdf28,rdf29,rdf30,rdf31,rdf32,rdf33,rdf34,rdf35,rdf36,rdf37,rdf38,rdf39,rdf40,rdf41,rdf42,rdf43,rdf44,rdf45,rdf46,rdf47,rdf48,rdf49,rdf50,rdf51,rdf52,rdf53,rdf54,rdf55,rdf56,rdf57,rdf58,rdf59,rdf60,rdf61,rdf62,rdf63,rdf64,rdf65,rdf66,rdf67,rdf68,rdf69,rdf70,rdf71,rdf72,rdf73,rdf74,rdf75,rdf76,rdf77,rdf78,rdf79,rdf80,rdf81,rdf82,rdf83,rdf84,rdf85,rdf86,rdf87,rdf88,rdf89,rdf90,rdf91,rdf92,rdf93,rdf94,rdf95,rdf96,rdf97,rdf98,rdf99,rdf100,rdf101,rdf102,rdf103,rdf104,rdf105,rdf106,rdf107,rdf108,rdf109,rdf110,rdf111,rdf112,rdf113,rdf114,rdf115,rdf116,rdf117,rdf118,rdf119,rdf120,rdf121,rdf122,rdf123,rdf124,rdf125,rdf126,rdf127,rdf128,rdf129,rdf130,rdf131,rdf132,rdf133,rdf134,rdf135,rdf136,rdf137,rdf138,rdf139,rdf140,rdf141,rdf142,rdf143,rdf144,rdf145,rdf146,rdf147,rdf148,rdf149,rdf150
6.015215215215215,0.1452106332632277,0.14515740362177945,0.14021074470373737,0.1401558110518923,0.14009924115607209,0.14004038605447877,0.21531023082157738,0.19195265101448267,0.19187199059807655,0.1917922685165613,0.34575990456833444,0.3456104904324617,0.26477171614172484,0.2646632541272351,0.26454823842628344,0.020967652807393124,0.020958175236268747,0.020948408742854252,0.07252749530248492,0.13847223943528733,0.13840066558966926,0.1383249820804295,0.275368295588171,0.2771557964632702,0.27699902598275816,0.2768376205177493,0.27667358203440123,0.27329703651769915,0.26258473915429376,0.26242262484778184,0.37691395194637434,0.4202947846960128,0.42004013806375734,0.41979119350085775,0.4195512072318582,0.816714199934507,0.620555044098023,0.6202194096483139,0.660227575452519,0.4015814906948782,0.40138829731369885,0.4316698638577437,0.43147749932826,0.22221392457505806,0.22213700530011818,0.22212121532430923,0.3392412623368566,0.3392078624620155,0.31773433935962464,0.31769274363953204,0.31764447295748927,0.3175904430546155,0.06999841083895034,0.06998203060156839,0.06996306131085682,0.06994389482492532,0.06991898646557132,0.15411071211252655,0.15411929973113245,0.17984129617510347,0.17986474294435179,0.5856632146273982,0.5778303101216588,0.5779791773576122,0.5781545799997673,0.578357148662553,0.5879599798468845,0.5882285531551157,0.629939256711698,0.6302647906984563,0.6306083896990026,0.6309485077426122,0.6312872597631514,0.6316290237428692,0.6319674127490252,0.6322847112093817,0.632589299593278,0.632871723698292,0.6331305326117376,1.0437451084875806,1.0440687890211249,1.0443499360009525,1.044576509259432,1.0447471243559843,0.7177678433227789,0.7178212808668796,0.7178459560599613,0.7178457905660244,0.717825370737765,0.6983989855756887,0.6983522900340834,0.4257929400866242,0.4257574229787298,0.4341043003782631,0.4335774739250638,0.257985332265971,0.25796165501688206,0.25793659300643434,0.25790938316247575,0.25787898884791716,0.14900855772957694,0.14898495117079436,0.14895766821054887,0.14892616668711736,0.03259464809847963,0.0325857688115903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19284830599145497,0.19267570515618498,0.19249725778186175,0.19231837864658569,0.19214221930059033,0.19196072400224004,0.19177208763021159,0.19158615179434246,0.18591158721721357,0.26256428635698387,0.26239230319139645,0.2622185525734585,0.11173416910295962,0.11166727227896325,0.11160072610349438,0.11153686524525928,0.11147655971002582,0.11141816585489193,0.11136259426362999
6.0242742742742745,0.2658562478566508,0.2657587933353657,0.24404116378070517,0.2439455500504213,0.24384708838658745,0.24374464925100187,0.4135001783673142,0.3792665160981718,0.37910714452942473,0.37894962695437384,0.3927235103160625,0.3925538016738646,0.2639775922411157,0.26387047625547966,0.2637518539061565,0.09306879765258015,0.09302672970356794,0.09298337931963509,0.2076826714375639,0.258478950121166,0.25834534693436895,0.2582040724515588,0.2774091548138795,0.2789487855355986,0.27879100086825737,0.27862855123156355,0.2784634515428869,0.2754947812559326,0.2617945232227648,0.26163289677898305,0.23926161243908317,0.29527314157960227,0.2950942425928991,0.2949193495277384,0.2947507500062509,0.5469923162830705,0.4211099158209246,0.4208821536002999,0.5324491890750098,0.540617424563383,0.5403573435820731,0.5548907491311158,0.554643473824664,0.41529607931726953,0.41515232471967833,0.4151228148000884,0.3853031547032815,0.3852652198216156,0.3832435270769198,0.38319335531861454,0.3831351323815604,0.3830699628106959,0.1313875037982718,0.13135675797882468,0.13132115248827791,0.13128518827649702,0.13123843510875258,0.09855285274887454,0.09855834447816658,0.13219006554336205,0.13220729979394652,0.3875422396531121,0.3876632272839595,0.38776310150674714,0.38788077818992023,0.3880166804092855,0.4058256310505557,0.4060110074979878,0.44726985045067524,0.44750098628801616,0.44774494865732706,0.4479864394754974,0.4482269603891443,0.4484696198558614,0.44870988302181736,0.4489351714657426,0.44915143549352426,0.44935196242666475,0.449535722087265,0.7223278594020488,0.7225518637734454,0.722746432633663,0.7229032335378918,0.7230213083786476,0.6808389885444196,0.6808896767492678,0.6809130824140049,0.6809129254346618,0.68089355619801,0.6539802913331831,0.6539365656627086,0.5843160873188082,0.5842673471553064,0.5986331181834056,0.5977720328207716,0.5594836773046421,0.5594323292908912,0.5593779781940953,0.559318969166632,0.5592530540902628,0.3247805790514638,0.3247291259540871,0.3246696597344163,0.32460099869120534,0.07610650402343914,0.07608577143318918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13595028485883046,0.1358286082249539,0.13570281001663245,0.13557670743423716,0.13545252219369025,0.13532457532174647,0.13519159428061076,0.13506051700864868,0.12459279452700547,0.26628623493696807,0.2661118138446244,0.2659356002456211,0.24130143948138275,0.24115696890396987,0.2410132555881459,0.24087534149130013,0.24074510548044192,0.2406189979395366,0.24049898536797115
6.033333333333333,0.3849299835605635,0.38478888036070025,0.351315383423319,0.3511777403560806,0.35103599747694336,0.35088852873176,0.605978925181059,0.5695448190393855,0.5693054906319741,0.5690689463683234,0.43933810576831966,0.43914825343853225,0.2631838567404301,0.2630775503544517,0.26295739730013806,0.175549448536183,0.1754700985774814,0.17538832964755866,0.35723185393875767,0.3783595748266233,0.37816400747025514,0.37795721092753914,0.2756188644360336,0.2764433368518338,0.27628696936717123,0.2761259788127518,0.27596236200845803,0.2741820180285044,0.261006723063134,0.2608455829906354,0.10816074270607418,0.16223661855987193,0.16213832324418137,0.16204222896567894,0.16194959264897707,0.27167525527469294,0.21460559425724107,0.21448952231290974,0.40249807850666397,0.6738414014900891,0.6735172289329644,0.667528360996765,0.6672308911249223,0.6001236243700241,0.5999158917801375,0.5998732484690609,0.4311571700262044,0.4311147206041721,0.45004658762027294,0.4499876704383119,0.44991929867912706,0.44984276942054324,0.19173924601866638,0.19169437736625583,0.19164241679379485,0.1915889876844921,0.19152075917983913,0.05226300790245632,0.05226592019046608,0.08510949997098174,0.08512059610323336,0.19086852194995146,0.19933087207920197,0.19938222597228594,0.19944273363519904,0.1995126126074538,0.22116407181023218,0.22126509699640812,0.2509484830563987,0.25107816581436293,0.2512150451198644,0.25135053771886445,0.25148548613616145,0.25162163442563495,0.2517564382291335,0.2518828402059181,0.2520041788779901,0.25211668798101344,0.2522197895158657,0.38461985856958847,0.3847391347798632,0.38484273738431063,0.38492622958362566,0.384989101211739,0.6301322909701994,0.630179204080617,0.6302008665667415,0.630200721278715,0.6301827946004972,0.5981508969818348,0.5981109041114653,0.7466911407659141,0.746628856243759,0.7634144938326877,0.7624217044301622,0.8717840201693727,0.8717040100105933,0.8716193204663092,0.8715273729631468,0.871424664497113,0.5096806923736881,0.5095999466272143,0.5095066258255114,0.5093988755156096,0.1305831123318314,0.13054753946987588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07510230401040269,0.07503508682466568,0.07496559277913914,0.07489593058983679,0.07482732758765223,0.07475664656713157,0.07468318454688375,0.07461077421587213,0.061908704098648876,0.26223748093918137,0.26206571183557115,0.2618921774795021,0.37375359870749497,0.3735298271529967,0.3733072285266195,0.37309361235375543,0.37289188882552365,0.3726965599151831,0.3725106715482959
6.042392392392393,0.4803453593172387,0.48016927984789687,0.45245749877260055,0.45228022888672414,0.4520976788715828,0.45190775453937004,0.7454947359117362,0.7207647690369913,0.7204618964999664,0.7201625473252258,0.4855218113897369,0.48531200157391463,0.2623937272205991,0.2622870540902466,0.2621699171354949,0.2405925008507755,0.24048375083665913,0.24037168559517852,0.4769412120365121,0.47515372752371415,0.4749081289858606,0.474648428545729,0.2694503790467145,0.2695620731278534,0.2694095979630856,0.26925261480661844,0.26909307077323263,0.2685036754428138,0.2602258476197977,0.2600651896434079,0.01828176707444573,0.052128059638367086,0.0520964764845514,0.05206560054344056,0.05203583567602299,0.06537383355491788,0.05600116422025081,0.055970875335944914,0.3003825952706618,0.7623917026457406,0.7620249301867753,0.7474463552252558,0.7471132715924257,0.7329808397595281,0.7327271186894068,0.7326750348708504,0.4767205227803329,0.47667358743501154,0.4996781358906794,0.49961272126814016,0.4995368094089755,0.49945184043393565,0.23821198984839514,0.23815624616944328,0.23809169166838737,0.23802286421743343,0.23793809972081462,0.017840048181054936,0.017841042294491887,0.038604862627227135,0.03860989572766144,0.04564520958008189,0.05541286164817971,0.055427137741706045,0.05544395853177597,0.055463384493149914,0.07141303673173383,0.07144565737970887,0.08461234210207502,0.0846560672593184,0.08470221887770124,0.08474790294002077,0.08479340352050391,0.08483930866208989,0.08488476048311455,0.08492737945881756,0.08496829123922167,0.08500622595234963,0.08504098871414023,0.11413891819949984,0.11417431433754155,0.11420505921181334,0.11422983616780158,0.11424849380977875,0.5709244979047979,0.570967003017445,0.5709866300770186,0.5709864984403848,0.5709702561688692,0.5356496400777027,0.5356138260937613,0.8851994943424182,0.8851256562793864,0.8971670394972232,0.8964306555400355,1.1136925438669145,1.1135903319483607,1.1134821421767767,1.1133646804588164,1.113233471753257,0.6581754683550586,0.6580711974452551,0.6579506877549978,0.6578115445389683,0.1902951294487576,0.19024329010866378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024410099143129915,0.024388251901695884,0.024365664624733996,0.024343022696902306,0.024320725030979706,0.024297751957900487,0.024273874991392885,0.024250339849798075,0.014901998042890774,0.2504877860405466,0.25032371314631574,0.2501579540927356,0.4730792756479354,0.47279603640882517,0.47251428180554944,0.47224389675862366,0.4719885648475811,0.4717413269353934,0.47150603840770444
6.0514514514514515,0.530707077752978,0.5305125372649435,0.5380780351198772,0.5378672196683993,0.5376501249054111,0.5374242603506723,0.7863227374149253,0.7900878003132265,0.7897557975477851,0.7893425434842495,0.5294047467672637,0.5291759737032963,0.2616102965594398,0.2615015429575263,0.26139424976538134,0.26128050286193183,0.26116240168141264,0.2610407002046673,0.5224919152209372,0.5250426891500536,0.5249075336399605,0.5246204913486319,0.2579847293634018,0.25784448978083846,0.2576986425531197,0.2575484832914188,0.25739587447145906,0.2572413531842298,0.25945620742048897,0.25929602460380413,0.0033410505416161156,-0.003454980045273193,-0.003452886754884936,-0.003450840337635622,-0.0034488675609067095,0.001472339626623891,-0.000155901097419976,-0.00015581677648899775,0.2553298541416316,0.7681661098348431,0.7677965594160486,0.7724073953731017,0.7720631883815532,0.7716039815324662,0.7713368910748648,0.7712820627906977,0.5216280517396296,0.5215766950399119,0.5131407880485703,0.5130736109828783,0.5129956538572084,0.5129083955929783,0.2583183563152519,0.258257907571547,0.2581879043252111,0.2582143989254439,0.2581224438369418,-0.001657794937305766,-0.001657887315768321,-0.006365491829365709,-0.006366321728956348,0.0006088356418442952,-0.003063728396534091,-0.0030645177091923478,-0.003065447715884944,-0.0030665217602082575,-0.007137687971883767,-0.007140948385070784,-0.009211136652627685,-0.009215896695767015,-0.009220920890265162,-0.009225894185300093,-0.009230847505988229,-0.009235844868331643,-0.009240792880928474,-0.009245432502045705,-0.009249886273098995,-0.009254015952266567,-0.00925780032392346,-0.008290948851818757,-0.008293519995602927,-0.008295753275750198,-0.008297553051655223,-0.008298908326067873,0.5080112896329431,0.508049110881061,0.5080665751305059,0.5080664579996131,0.5080520055504201,0.4708194924449716,0.4707880130590445,0.9701117064393778,0.9700307855059771,0.9676727573144505,0.967699684699745,1.2043249698446412,1.204214439908522,1.2040974456410125,1.2039704248750758,1.203828538390124,0.7261545479076393,0.7260395074678042,0.7259065510392304,0.725753036537417,0.25139525273649643,0.25132676877664767,0.0036385000490220957,0.0036372371508793704,0.0021543803045687322,0.0014328975755075297,0.0014322554325804117,0.0014315501778920498,0.0003313621636807638,0.0003311870975239456,0.0003310028514541253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024189084651445353,-0.002416743521981674,-0.0024145052453107213,-0.002412261553034907,-0.00241005197524758,-0.002550383389133986,-0.0025478771729675878,-0.0025454068360290802,0.0,0.23097177611907546,0.23082048647580572,0.2306676420452712,0.5034965730459193,0.503195122541564,0.502895252129792,0.5026074822959866,0.5022962212150388,0.5020331074909321,0.5017827104534706
6.060510510510511,0.5530771673903222,0.5528744267324806,0.6096862097172269,0.6094473386517453,0.6092013526152287,0.6089454296908566,0.7681701832529718,0.7193976807292173,0.7190953826563202,0.7151662679580972,0.4937079525230712,0.493494605208576,0.26083032208447376,0.2607217908703773,0.26062382154759645,0.26051452996656194,0.2603967750128074,0.26027543031749617,0.4656067122390863,0.47883486919106116,0.4843979523451358,0.4841330624564502,0.2251675139059994,0.22504511364519741,0.22491781906556652,0.22478676096871486,0.22465356491220698,0.224518699665815,0.2586914906072312,0.258531779910656,0.04025145797874935,0.040880497843282605,0.040855729320141754,0.040831515415907696,0.0408081728513328,0.06699296451122538,0.05803095657443371,0.05799956985320536,0.249838401357,0.7030926831867937,0.702754438382452,0.7262202014644733,0.7258965768173697,0.7545469981282784,0.7542858119397213,0.7542321956829094,0.5525556400217658,0.552501238357616,0.45739110184481285,0.45733122316665803,0.45726173561774897,0.45718395744351126,0.2605303777844728,0.26046941140849117,0.260398808713142,0.26483298427167795,0.2647386721782845,0.014637719037553098,0.014638534705371582,-0.007913856222116563,-0.007914887989372772,0.028052708284407417,-0.01945178641767819,-0.019456797808786667,-0.01946270247434771,-0.01946952164304551,-0.04216789764168014,-0.04218715944887616,-0.052109378056438324,-0.05213630664265591,-0.05216472958983456,-0.05219286458781958,-0.052220886586635464,-0.052249157738552814,-0.052277149708356334,-0.052303397041335305,-0.05232859298059287,-0.05235195546245696,-0.052373364465581336,-0.05059561766566089,-0.05061130810232772,-0.05062493672198164,-0.05063591987664849,-0.050644190455473685,0.4247941531322867,0.4248257788961083,0.4248403823334816,0.42484028438975596,0.42482819939077854,0.39030230125272636,0.39027620531369556,0.8989182065571797,0.898843224160985,0.9170054264997551,0.9155086364511654,1.112075600557729,1.1119735370381914,1.1118655043447239,1.1117482131665957,1.1116171949597873,0.748654015447465,0.7485354105479026,0.7483983345433275,0.7482400634858187,0.3898979269537303,0.38979171272062935,0.16688013749072705,0.1668222145519184,0.09967666079853214,0.06695445118928625,0.06692444602492198,0.06689149186168307,0.016076464785577525,0.01606797122411,0.016059032287266867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014158962708549848,-0.014146290319350016,-0.014133188676037713,-0.014120055332746519,-0.01410712167694961,-0.020176427811789667,-0.02015660079684849,-0.02013705762733016,0.0,0.1983996559271882,0.19826970146403078,0.198138411472942,0.4547349518203917,0.4544626955868586,0.4541918664202874,0.4539319659392986,0.4520012257520187,0.4517644576443058,0.4515391328995098
6.06956956956957,0.5639379988951397,0.5637312769987769,0.6701771284551687,0.6699145574437467,0.6696441655389188,0.6693628508432149,0.7308654295411562,0.5395919143824386,0.5393651724839892,0.5294429383104915,0.37327289071357106,0.37311158731871874,0.26005243425870106,0.2599469829441507,0.25985339643443167,0.25974307102040206,0.2596256647731575,0.25950467941462024,0.3390086934442573,0.3537210571707473,0.36906071242177385,0.36885889395710375,0.17156095921890735,0.17146769929083175,0.1713707102545094,0.17127085369696596,0.17116936817260114,0.17106661084924252,0.25792677634695677,0.2577675377689152,0.09581431796107014,0.1635885600601432,0.16348944563519263,0.1633925505889956,0.1632991423203009,0.19683865702806547,0.18487241796937098,0.18477242756100715,0.25749707332933214,0.6012601949051519,0.6009709398156774,0.6269967671862828,0.6267173593605206,0.7192342308752536,0.7189852681891543,0.7189341611708691,0.5644897374347079,0.5644341608033467,0.34545829320207566,0.34541306804165794,0.3453605854945597,0.3453018412050181,0.25668375195346993,0.2566236857214127,0.25655412544635237,0.268539925424163,0.2684442932180912,0.0644795994256365,0.06448319246728904,0.03955290214150607,0.039558058842382525,0.08382299644692412,-0.029926186407006374,-0.029933896332524284,-0.02994298054301562,-0.02995347169838867,-0.06068200830130764,-0.06070972713979701,-0.0716867832726011,-0.071723828883123,-0.07176293028349201,-0.07180163555264228,-0.07184018536902664,-0.07187907794491138,-0.07191758645043418,-0.07195369486202778,-0.07198835687305677,-0.07202049659985005,-0.07204994892924454,-0.0751195216833297,-0.07514281733919469,-0.07516305180685888,-0.07517935854177413,-0.07519163790417858,0.3208369580681778,0.32086084425819783,0.32087187388840727,0.3208717999138322,0.320862672400467,0.29375808611025767,0.29373844519837905,0.6854978573175898,0.6854406771742206,0.7654789342182906,0.7597850878021082,0.8991113047528384,0.8990287865641713,0.8989414423081417,0.8988466125824016,0.8987406845764183,0.7594199700982552,0.7592996596111401,0.7591606123968758,0.7590000653360431,0.6073311473383466,0.6071657009289314,0.4956192571679593,0.49544723115972983,0.2994624855997389,0.20374159416853665,0.20365028881224928,0.2035500096876574,0.051227620238469204,0.05120055552323898,0.05117207162033848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020187560455515622,-0.020169492421270932,-0.020150812365261322,-0.020132087112067876,-0.020113646569233957,-0.03634388591746792,-0.036308171430452285,-0.03627296823541373,0.0,0.15432562344411063,0.15422453806947933,0.15412241385141026,0.3537128673748371,0.35350109448903155,0.3532904316387423,0.35308826960128586,0.34839520095546417,0.34821270394491016,0.3480390272925674
6.078628628628628,0.5633917146101817,0.56318519296442,0.7183031681444325,0.7180217416657312,0.717731932668032,0.7174304165037374,0.6783023453974243,0.31667652715179184,0.31654345651999233,0.3018355150462003,0.21792737788723054,0.21783320435692854,0.25927853472306767,0.25917654265103635,0.25908297376543327,0.25896923576602104,0.25885217929939947,0.2587315543844934,0.18831724610030162,0.19896081424102574,0.22218848072781397,0.22206697839354056,0.10945345929841305,0.10939396078669879,0.10933208315680078,0.10926837608902429,0.10920362976351401,0.10913807204827938,0.2571620647619942,0.25700329830083446,0.15749220958808402,0.3157501989298987,0.3155588933802719,0.3153718715610149,0.3151915797398071,0.3454874323374935,0.3340874020099893,0.3339067069332273,0.2687007994723374,0.4828298120494068,0.48259753161296887,0.5013539049397223,0.5011304871936545,0.6686956545228868,0.6684641857479229,0.6684166698767701,0.5605507299388672,0.5604955411210535,0.21112818734196095,0.2111005478082483,0.21106847289427458,0.21103257109191045,0.25087224386924545,0.2508135375806616,0.2507455522011597,0.26880509990805845,0.2687093732682787,0.13067498427365584,0.13068226596686772,0.1127013448279575,0.11271603824088519,0.15065596387603045,-0.03281897309952118,-0.03282742829774558,-0.032837390624909174,-0.032848895897959626,-0.0625307484159914,-0.06255931173755053,-0.07048881005820956,-0.07052523659158652,-0.07056368456006547,-0.07060174301715946,-0.07063964861929205,-0.07067789125299746,-0.07071575623462314,-0.07075126123080419,-0.07078534399753077,-0.0708169466304546,-0.07084590677565408,-0.07977390358595499,-0.07979864263331977,-0.07982013082222704,-0.07983744791730144,-0.07985048810513276,0.20991882815678925,0.20993445653404447,0.20994167305630093,0.2099416246558416,0.20993565266021763,0.1924941587806992,0.1924812884598858,0.4118696630986174,0.4118353073874594,0.5694370715819176,0.5584886110470038,0.6370573645573467,0.6369988970244369,0.6369370100241719,0.6368698192605342,0.636794764908567,0.7584562035547877,0.7583360457515983,0.7581971749997112,0.758036831686333,0.8475994313054738,0.8473685320948104,0.8832645837687598,0.8829580087550599,0.5422576066445162,0.375319424047294,0.3751512272984955,0.3749664996613167,0.09999320389555716,0.09994037521493929,0.09988477636616956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020610023201528226,-0.020591577059617727,-0.02057250608823353,-0.020553388973829256,-0.02053456252788531,-0.04493798818506989,-0.04489382842738219,-0.044850300864966004,0.0,0.10470852729515824,0.10463994179086863,0.10457065144078587,0.22858682823866602,0.22844997007845125,0.22831382927833635,0.22818318212581576,0.22129299954002146,0.2211770814367817,0.22106676583185492
6.087687687687688,0.5515404568781948,0.5513382795299933,0.7528167055957431,0.752521756939021,0.7522180229941138,0.75190201936841,0.6143747999397159,0.11665754491616154,0.11660852425351298,0.10200695866997589,0.07749923059250341,0.07746574064639677,0.2585105251185196,0.25840989346322435,0.2583125528801473,0.25819613394598745,0.2580794269284699,0.25795916211556963,0.05915175747106072,0.06381370155379851,0.08707392412118331,0.08702630830869651,0.051133408140800585,0.05110561220175258,0.05107670480928969,0.05104694275773872,0.05101669519581464,0.05098606857668944,0.25639735597467206,0.256239061628667,0.21274771195929887,0.44844640677715053,0.44817470374539525,0.4479090847113647,0.44765302400367235,0.4674173055998664,0.45939482761889505,0.4591463585561849,0.2738445091997264,0.36796270167904066,0.3677856816715641,0.37590842712597383,0.3757409114994095,0.6059612438206671,0.6057514905407794,0.6057084324227995,0.5438590034946492,0.543805458054679,0.08818660948606177,0.0881750646667907,0.08816166722351931,0.08814667131859155,0.24718961857880056,0.24713177405658726,0.24706478665388046,0.26509838524852214,0.26500397864076236,0.19603101162832914,0.19604193520099775,0.18819803340370322,0.18822256968072099,0.2112878743183668,-0.026462191230222157,-0.02646900872178794,-0.026477041423045893,-0.026486318213477248,-0.04756484645095008,-0.047586573521847246,-0.05106091617034904,-0.05108730294245657,-0.05111515400837473,-0.05114272291875421,-0.05117018110355376,-0.051197883428393015,-0.051225312188376115,-0.05125103141433737,-0.05127572040104665,-0.051298612820271136,-0.051319591065542826,-0.0624700060546587,-0.06248937891181117,-0.0625062060599235,-0.06251976687349184,-0.06252997849127861,0.1058188871142908,0.10582676529036047,0.10583040309817754,0.10583037869978129,0.10582736825076006,0.09781783102718267,0.0978112908450049,0.1600526282782485,0.16003927764245351,0.38522362970247925,0.3695787784802633,0.3975390620986118,0.39750257695694435,0.397463957985702,0.3974220293390145,0.39737519362476426,0.7457665075118358,0.7456483600633544,0.7455118127516639,0.7453541521349263,1.0546072962702495,1.0543200049115313,1.2232248419811926,1.2228002691186781,0.7688077758692081,0.5452130383596077,0.5449687049876073,0.544700357788176,0.15658159113004805,0.15649886551924466,0.15641180204026608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155316724420718,-0.015517771466261519,-0.015503399620204139,-0.015488993000858707,-0.015474805428686149,-0.03984396509349371,-0.03980481114123843,-0.03976621772067025,0.0,0.055507216105644255,0.05547085812691359,0.05543412650117657,0.10751334294127951,0.10744897318547664,0.10738494083223987,0.10732349235674593,0.10050947422032747,0.10045682516394755,0.10040672071657458
6.096746746746747,0.5284863680419298,0.5282926415960837,0.7724701176198155,0.7721674688849294,0.7718558055087,0.7715315521332089,0.5429766622859904,0.005540993554493889,0.005538665173796531,-0.00037977031336922096,0.0018162653778863724,0.0018154805103569593,0.25775030708600305,0.25764645885290494,0.25754213311812024,0.2574268753028703,0.2573105159973055,0.2571906094963032,-0.0028683851795838766,-0.0024607197389907576,0.007009709459850244,0.0070058762455486034,0.008889199742371623,0.008884367604964638,0.008879342248842792,0.008874168315975761,0.008868909980389805,0.008863585748253966,0.25563265010731895,0.25547482787466586,0.24904340417420617,0.5127581759264601,0.5124475079205377,0.5121437964194029,0.5118510140056771,0.5171062919755034,0.5145136137186563,0.5142353330161618,0.2633231319252082,0.27682003085357065,0.27668685788873554,0.2772771461462573,0.27715358346046215,0.5340609735181022,0.5338761084924957,0.5338381594311644,0.517534944062465,0.5174839903481719,0.010419384856008795,0.010418020817683948,0.010416437888956409,0.010414666099502035,0.24972964112913776,0.24967120221954003,0.24960352648083256,0.25688965897071353,0.25679817564745877,0.24335481953635407,0.24336838016654927,0.24270952943518498,0.24274117263645223,0.24845499152055528,-0.009187885534111158,-0.009190252621991045,-0.009193041640445536,-0.009196262616662731,-0.015635030871407465,-0.015642172772403096,-0.015948559366111698,-0.015956801110150007,-0.01596550021724636,-0.015974111194816377,-0.015982687587940678,-0.015991340236686823,-0.01599990743915277,-0.01600794067930706,-0.016015652130643022,-0.016022802435306994,-0.01602935485965038,-0.02111907177056903,-0.02112562110178319,-0.021131309811791704,-0.021135894280612882,-0.021139346495564586,0.022316258656883636,0.022317920093889054,0.022318687275083182,0.022318682129679246,0.022318047252854745,0.021036414612867926,0.02103500810055331,0.012065757234547059,0.012064750781031641,0.2691823996918752,0.251015162396357,0.2521816795040641,0.2521585348997226,0.25213403668569256,0.25210743895593657,0.2520777283936133,0.7213546736641774,0.7212403936404902,0.7211083160525694,0.7209558162800657,1.1722592596477501,1.1719399180722978,1.4089087564932186,1.4084197340312508,0.9198587452100893,0.6769475346394745,0.6766441653834797,0.6763109800736989,0.21520115731513126,0.2150874616561715,0.2149678041581167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005057829672632285,-0.005053302873075174,-0.0050486227364247025,-0.0050439312759860706,-0.005039311147420743,-0.014947047121639412,-0.01493235892562314,-0.014917881007211586,0.0,0.012680538500896732,0.012672232576343923,0.012663841292704828,0.018648920012115267,0.018637754640503545,0.018626647793659967,0.018615989137971134,0.01585947771105589,0.015851170170471773,0.015843264145965152
